Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Actual Result),Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Reason),Custom field (Request Type),Custom field (Score),Custom field (Score),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Team Id,Team Name,Custom field (Test Level),Custom field (Test Level),Custom field (Test Steps),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Testcase Result),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
BS23 - Verify Weight - Pet weight should only contain numbers,PS-52,10191,Story,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,02/Jun/24 8:59 AM,18/Jun/24 8:23 PM,15/Jul/24 3:57 PM,18/Jun/24 8:02 PM,,0,,This test case verifies that the booking service process accepts only numerical values in the weight field for pets. The system should prompt an appropriate error message if non-numeric characters are entered.,,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,,,,,,,,,,,,,,,,,PS-53,,,,,,,,,PS-51,,,,,,,,,,,,,,,,,,{},,,,,,,"The system should display an error message indicating that the weight field should only contain numbers. The message should be clear and inform the user that they need to provide a valid numerical weight to proceed with the booking service. Example error message: ""Pet weight should only contain numbers.""",,,,,,,0|i0015r:,,,,,,,,,,,,,,,Unit,,"Navigate to the booking service page.
Locate the weight input field on the page.
Enter non-numeric characters (e.g., letters, special characters) into the weight field.
Fill out the other required fields for booking the service.
Click on the ""Book Service"" button or submit the form.
Observe the behavior and any error messages displayed by the system.",Skip,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_1422207957,,,Done,18/Jun/24 8:02 PM
BS22 - Verify Weight - Weight must not be blank,PS-51,10190,Story,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,02/Jun/24 8:57 AM,18/Jun/24 8:23 PM,15/Jul/24 3:57 PM,18/Jun/24 8:02 PM,,0,,This test case ensures that the booking service process requires the weight field to be filled out and does not allow it to be left blank. The system should prompt an appropriate error message if the weight field is left empty.,,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,,,,,,,,,,,,,,,,,PS-52,,,,,,,,,PS-50,,,,,,,,,,,,,,,,,,{},,,,,,,"The system should display an error message indicating that the weight field must not be blank. The message should be clear and inform the user that they need to provide the weight to proceed with the booking service. Example error message: ""Weight must not be blank.""",,,,,,,0|i0015j:,,,,,,,,,,,,,,,Unit,,"Navigate to the booking service page.
Locate the weight input field on the page.
Leave the weight input field blank.
Fill out the other required fields for booking the service.
Click on the ""Book Service"" button or submit the form.
Observe the behavior and any error messages displayed by the system.",Skip,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_1422282333,,,Done,18/Jun/24 8:02 PM
BS21 - Verify Name - Name must not be blank,PS-50,10189,Story,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,02/Jun/24 8:56 AM,18/Jun/24 8:23 PM,15/Jul/24 3:57 PM,18/Jun/24 8:02 PM,,0,,This test case verifies that the booking service process requires the name field to be filled out and does not allow it to be left blank. The system should prompt an appropriate error message if the name field is left empty.,,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,,,,,,,,,,,,,,,,,PS-51,,,,,,,,,PS-49,,,,,,,,,,,,,,,,,,{},,,,,,,"The system should display an error message indicating that the name field must not be blank. The message should be clear and inform the user that they need to provide their name to proceed with the booking service. Example error message: ""Name must not be blank.""",,,,,,,0|i0015b:,,,,,,,,,,,,,,,Unit,,"Navigate to the booking service page.
Locate the name input field on the page.
Leave the name input field blank.
Fill out the other required fields for booking the service.
Click on the ""Book Service"" button or submit the form.
Observe the behavior and any error messages displayed by the system.",Skip,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_1422374372,,,Done,18/Jun/24 8:02 PM
BS20 - Verify Timeslot - Only one available timeslot is accepted,PS-49,10188,Story,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,02/Jun/24 8:51 AM,18/Jun/24 8:23 PM,15/Jul/24 3:57 PM,18/Jun/24 8:02 PM,,0,,This test case verifies that the booking service process only allows one available timeslot to be selected and does not permit multiple selections.,,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,,,,,,,,,,,,,,,,,PS-50,,,,,,,,,PS-48,,,,,,,,,,,,,,,,,,{},,,,,,,The user cannot choose two or more timeslot in each booking service times,,,,,,,0|i00153:,,,,,,,,,,,,,,,Unit,,"Navigate to the booking service page.

Locate the timeslot selection input on the page.

Attempt to select multiple timeslots (if the UI allows for such an action).",Skip,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_1422621922,,,Done,18/Jun/24 8:02 PM
BS19 - Verify Timeslot - Timeslot is required,PS-48,10187,Story,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,02/Jun/24 8:50 AM,18/Jun/24 8:23 PM,15/Jul/24 3:57 PM,18/Jun/24 8:02 PM,,0,,This test case verifies that the booking service process requires the timeslot field to be filled out and does not allow it to be left blank. The system should prompt an appropriate error message if the timeslot field is left empty.,,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,,,,,,,,,,,,,,,,,PS-49,,,,,,,,,PS-47,,,,,,,,,,,,,,,,,,{},,,,,,,"The system should display an error message indicating that the timeslot field is required. The message should be clear and inform the user that they need to select a timeslot to proceed with the booking service. Example error message: ""Timeslot is required.""",,,,,,,0|i0014v:,,,,,,,,,,,,,,,Unit,,"Navigate to the booking service page.
Locate the timeslot selection on the page.
Leave the timeslot field unselected.
Fill out the other required fields for booking the service.
Click on the ""Book Service"" button or submit the form.
Observe the behavior and any error messages displayed by the system.",Skip,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_1422731359,,,Done,18/Jun/24 8:02 PM
BS18 - Verify Date - Date cannot be in the past,PS-47,10186,Story,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,02/Jun/24 8:48 AM,18/Jun/24 8:23 PM,15/Jul/24 3:57 PM,18/Jun/24 8:02 PM,,0,,This test case verifies that the booking service process does not allow the date field to be set to a date in the past. The system should prompt an appropriate error message if a past date is selected.,,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,,,,,,,,,,,,,,,,,PS-48,,,,,,,,,PS-46,,,,,,,,,,,,,,,,,,{},,,,,,,"The system should display an error message indicating that the date cannot be in the past. The message should be clear and inform the user that they need to select a valid future date to proceed with the booking service. Example error message: ""Date cannot be in the past.""",,,,,,,0|i0014n:,,,,,,,,,,,,,,,Unit,,"Navigate to the booking service page.
Locate the date input field on the page.
Select a date that is in the past.
Fill out the other required fields for booking the service.
Click on the ""Book Service"" button or submit the form.
Observe the behavior and any error messages displayed by the system.",Skip,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_1422842904,,,Done,18/Jun/24 8:02 PM
BS17 - Verify Date - Date is required,PS-46,10185,Story,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,02/Jun/24 8:45 AM,18/Jun/24 8:23 PM,15/Jul/24 3:57 PM,18/Jun/24 8:02 PM,,0,,This test case verifies that the booking service process requires the date field to be filled out and does not allow it to be left blank. The system should prompt an appropriate error message if the date field is left empty.,,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,,,,,,,,,,,,,,,,,PS-47,,,,,,,,,PS-45,,,,,,,,,,,,,,,,,,{},,,,,,,"The system should display an error message indicating that the date field is required. The message should be clear and inform the user that they need to provide a date to proceed with the booking service. Example error message: ""Date is required.""",,,,,,,0|i0014f:,,,,,,,,,,,,,,,Unit,,"Navigate to the booking service page.
Locate the date input field on the page.
Leave the date input field blank.
Fill out the other required fields for booking the service.
Click on the ""Book Service"" button or submit the form.
Observe the behavior and any error messages displayed by the system.",Skip,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_1422998783,,,Done,18/Jun/24 8:02 PM
BS16 - Verify Pet Type - Pet Type must be selected,PS-45,10184,Story,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,02/Jun/24 8:44 AM,18/Jun/24 8:23 PM,15/Jul/24 3:57 PM,18/Jun/24 8:02 PM,,0,,This test case verifies that the booking service process requires the pet type field to be selected and does not allow it to be left unselected. The system should prompt an appropriate error message if the pet type field is not selected.,,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,,,,,,,,,,,,,,,,,PS-46,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"The system should display an error message indicating that the pet type field must be selected. The message should be clear and inform the user that they need to choose a pet type to proceed with the booking service. Example error message: ""Pet Type must be selected.""",,,,,,,0|i00147:,,,,,,,,,,,,,,,Unit,,"Navigate to the booking service page.
Locate the pet type  selection input on the page.
Leave the pet type field unselected.
Fill out the other required fields for booking the service.
Click on the ""Book Service"" button or submit the form.
Observe the behavior and any error messages displayed by the system.",Skip,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_1423052720,,,Done,18/Jun/24 8:02 PM
CP28 - Verify Password - The new password must not be the same as the old password,PS-44,10183,Story,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,02/Jun/24 8:41 AM,18/Jun/24 8:23 PM,15/Jul/24 3:57 PM,18/Jun/24 8:02 PM,,0,,This test case verifies that the change password process does not allow the new password to be the same as the old password. The system should prompt an appropriate error message if the new password is the same as the old password.,,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"The system should display an error message indicating that the new password must not be the same as the old password. The message should be clear and inform the user that they need to provide a different new password to proceed with changing the password. Example error message: ""The new password must not be the same as the old password.""",,,,,,,0|i0013z:,,,,,,,,,,,,,,,Unit,,"Navigate to the account settings or change password page.
Locate the old password input field on the page.
Enter the current password in the old password input field.
Enter the same current password in the new password field.
Click on the button submit the form.
Observe the behavior and any error messages displayed by the system.",Skip,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_1423245928,,,Done,18/Jun/24 8:02 PM
CP27 - Verify Password - New Password must not be blank,PS-43,10182,Story,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,02/Jun/24 8:38 AM,18/Jun/24 8:23 PM,15/Jul/24 3:57 PM,18/Jun/24 8:02 PM,,0,,This test case verifies that the change password process requires the new password field to be filled out and does not allow it to be blank. The system should prompt an appropriate error message if the new password field is left empty.,,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"The system should display an error message indicating that the new password field must not be blank. The message should be clear and inform the user that they need to provide a new password to proceed with changing the password. Example error message: ""New Password must not be blank.""",,,,,,,0|i0013r:,,,,,,,,,,,,,,,Unit,,"Navigate to the account settings or change password page.
Locate the new password input field on the page.
Leave the new password input field blank.
Enter the new password in the new password field.
Enter the same blank value in the confirm password field.
Click on the button submit the form.
Observe the behavior and any error messages displayed by the system.",Skip,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_1423423398,,,Done,18/Jun/24 8:02 PM
CP26 - Verify Password - Old Password must not be blank,PS-42,10181,Story,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,02/Jun/24 8:33 AM,18/Jun/24 8:23 PM,15/Jul/24 3:57 PM,18/Jun/24 8:01 PM,,0,,This test case verifies that the email account verification process requires the email field to be filled out and does not allow it to be blank. The system should prompt an appropriate error message if the email field is left empty.,,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"The system should display an error message indicating that the old password field must not be blank. The message should be clear and inform the user that they need to provide their old password to proceed with changing the password. Example error message: ""Old Password must not be blank.""",,,,,,,0|i0013j:,,,,,,,,,,,,,,,Unit,,"Navigate to the account verification page.

Locate the old password input field on the page.

Leave the old password input field blank.

Click on submit the form.

Observe the behavior and any error messages displayed by the system.",Skip,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_1423701372,,,Done,18/Jun/24 8:01 PM
NC13 Verify Telephone Number - First character cannot have space,PS-41,10180,Story,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,02/Jun/24 2:17 AM,18/Jun/24 8:22 PM,15/Jul/24 3:57 PM,18/Jun/24 8:01 PM,,0,,Test to verify that the first character of a telephone number cannot be a space.,,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,The system should display an error message indicating that the first character of the telephone number cannot be a space and prevent the form from being submitted.,,,,,,,0|i0013b:,,,,,,,,,,,,,,,Unit,,"1.Enter a telephone number with a space as the first character (e.g., "" 1234567890"").
2.Fill in other required fields with valid data.
3.Attempt to submit the form.",,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_1446264179,,,Done,18/Jun/24 8:01 PM
NC12 Verify Telephone Number – Characters are not allowed,PS-40,10179,Story,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,02/Jun/24 2:16 AM,18/Jun/24 8:22 PM,15/Jul/24 3:57 PM,18/Jun/24 8:01 PM,,0,,Test to verify that alphabetic characters are not allowed in the Mobile number field when submitting a form.,,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,The system should display an error message indicating that alphabetic characters are not allowed in the Mobile number field and prevent the form from being submitted.,,,,,,,0|i00133:,,,,,,,,,,,,,,,Unit,,"1. Enter alphabetic characters in the Mobile number field (e.g., ""ABCdef"").
2. Fill in other required fields with valid data.
3. Attempt to submit the form",,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_1446339115,,,Done,18/Jun/24 8:01 PM
NC11 Verify Telephone Number – Special characters are not allowed,PS-39,10178,Story,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,02/Jun/24 2:15 AM,18/Jun/24 8:22 PM,15/Jul/24 3:57 PM,18/Jun/24 8:01 PM,,0,,Test to verify that special characters are not allowed in the Mobile number field when submitting a form.,,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,The system should display an error message indicating that special characters are not allowed in the Mobile number field and prevent the form from being submitted.,,,,,,,0|i0012v:,,,,,,,,,,,,,,,Unit,,"1. Enter special characters in the Mobile number field (e.g., ""!@#$%^&*()"").
2. Fill in other required fields with valid data.
3. Attempt to submit the form.",,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_1446396119,,,Done,18/Jun/24 8:01 PM
NC10 Verify Telephone Number – Mobile no must not be blank,PS-38,10177,Story,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,02/Jun/24 2:14 AM,18/Jun/24 8:22 PM,15/Jul/24 3:57 PM,18/Jun/24 8:01 PM,,0,,Test to verify that the Mobile number field must not be left blank when submitting a form.,,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,The system should display an error message indicating that the Mobile number field must not be blank and prevent the form from being submitted.,,,,,,,0|i0012n:,,,,,,,,,,,,,,,Unit,,"1. Leave the Mobile number field blank.
2. Fill in other required fields with valid data.
3. Attempt to submit the form.",,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_1446449414,,,Done,18/Jun/24 8:01 PM
NC9 Verify User name – First character cannot have space,PS-37,10176,Story,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,02/Jun/24 2:12 AM,18/Jun/24 8:22 PM,15/Jul/24 3:57 PM,18/Jun/24 8:01 PM,,0,,Test to verify that the first character of the User Name field cannot be a space when submitting a form,,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,The system should display an error message indicating that the first character of the User Name cannot be a space and prevent the form from being submitted.,,,,,,,0|i0012f:,,,,,,,,,,,,,,,Unit,,"1. Enter a User Name where the first character is a space (e.g., "" JohnDoe"").
2. Fill in other required fields with valid data.
3. Attempt to submit the form.",,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_1446533928,,,Done,18/Jun/24 8:01 PM
NC8 Verify User name – User name must not be blank,PS-36,10175,Story,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,02/Jun/24 2:12 AM,18/Jun/24 8:22 PM,15/Jul/24 3:57 PM,18/Jun/24 8:01 PM,,0,,Test to verify that the User Name field cannot be left blank when submitting a form.,,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,The system should display an error message indicating that the User Name field must not be blank and prevent the form from being submitted.,,,,,,,0|i00127:,,,,,,,,,,,,,,,Unit,,"1. Leave the User Name field blank.
2. Fill in other required fields with valid data.
3. Attempt to submit the form.",,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_1446582852,,,Done,18/Jun/24 8:01 PM
NC7 Verify User name – Special characters are not allowed,PS-35,10174,Story,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,02/Jun/24 2:11 AM,18/Jun/24 8:22 PM,15/Jul/24 3:57 PM,18/Jun/24 8:01 PM,,0,,Test to verify that special characters are not allowed in the User Name field when submitting a form.,,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,The system should display an error message indicating that special characters are not allowed in the User Name field and prevent the form from being submitted.,,,,,,,0|i0011z:,,,,,,,,,,,,,,,Unit,,"1. Enter a User Name that contains special characters (e.g., ""User@Name!"").
2. Fill in other required fields with valid data.
3. Attempt to submit the form.",,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_1446637900,,,Done,18/Jun/24 8:01 PM
